Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Armed forces personnel, total",MS.MIL.TOTL.P1,Afghanistan,AFG,400000,..,120000,130000,27000,27000,51000,51000,94000,255745,306800,340350,338150,330650,308800,319400
"Armed forces personnel, total",MS.MIL.TOTL.P1,Albania,ALB,67500,40500,27000,22000,21500,22500,11500,14500,14500,14745,14745,14750,14750,8500,8500,8500
"Armed forces personnel, total",MS.MIL.TOTL.P1,Algeria,DZA,305200,305200,317900,308700,318000,319000,334000,334000,334000,334200,317200,317200,317200,317200,317200,317200
"Armed forces personnel, total",MS.MIL.TOTL.P1,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Angola,AGO,117500,145500,110000,130000,118000,118000,110000,117000,117000,117000,117000,117000,117000,117000,117000,117000
"Armed forces personnel, total",MS.MIL.TOTL.P1,Antigua and Barbuda,ATG,200,200,200,200,170,170,170,170,..,170,170,180,180,180,180,180
"Armed forces personnel, total",MS.MIL.TOTL.P1,Argentina,ARG,102300,101300,101100,102600,102000,102000,107000,107000,107000,104340,104340,104350,104350,105650,105650,105450
"Armed forces personnel, total",MS.MIL.TOTL.P1,Armenia,ARM,42300,43000,45600,45600,49000,49000,47000,42000,42000,55570,55528,55544,49100,49100,49100,49100
"Armed forces personnel, total",MS.MIL.TOTL.P1,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Australia,AUS,51600,51700,50900,53600,52000,53000,51000,55000,55000,56552,56552,57050,56200,56750,56750,57800
"Armed forces personnel, total",MS.MIL.TOTL.P1,Austria,AUT,40500,34600,34600,34600,39000,40000,40000,35000,35000,25900,25758,23250,22800,22500,22500,21350
